"index","year","first_name","sex","num"
"0","2013","Aaliyah","F","5237"
"1","2011","Aaliyah","F","5122"
"2","2012","Aaliyah","F","5511"
"3","1975","Aaron","M","10550"
"4","2007","Aaron","M","8941"
"5","1986","Aaron","M","12689"
"6","1994","Aaron","M","14384"
"7","1983","Aaron","M","14460"
"8","1976","Aaron","M","11350"
"9","1988","Aaron","M","14408"
"10","1991","Aaron","M","14241"
"11","1981","Aaron","M","14697"
"12","1992","Aaron","M","14508"
"13","1997","Aaron","M","11170"
"14","1979","Aaron","M","13080"
"15","1970","Aaron","M","6584"
"16","2018","Aaron","M","5975"
"17","2015","Aaron","M","7166"
"18","1996","Aaron","M","11972"
"19","1995","Aaron","M","13290"
"20","2001","Aaron","M","9542"
"21","2009","Aaron","M","7977"
"22","2013","Aaron","M","7313"
"23","2004","Aaron","M","8395"
"24","1972","Aaron","M","7863"
"25","1977","Aaron","M","11633"
"26","1993","Aaron","M","13831"
"27","2019","Aaron","M","5520"
"28","2010","Aaron","M","7464"
"29","1985","Aaron","M","13137"
"30","1990","Aaron","M","14553"
"31","1982","Aaron","M","14413"
"32","1989","Aaron","M","15312"
"33","1980","Aaron","M","13173"
"34","2017","Aaron","M","7208"
"35","2002","Aaron","M","9005"
"36","2008","Aaron","M","8542"
"37","2005","Aaron","M","7805"
"38","1974","Aaron","M","10511"
"39","2000","Aaron","M","9555"
"40","1999","Aaron","M","9857"
"41","2014","Aaron","M","7401"
"42","1998","Aaron","M","10549"
"43","1987","Aaron","M","12683"
"44","2006","Aaron","M","8300"
"45","2012","Aaron","M","7537"
"46","2016","Aaron","M","7166"
"47","1978","Aaron","M","12307"
"48","1971","Aaron","M","8406"
"49","2020","Aaron","M","5039"
"50","1984","Aaron","M","13407"
"51","2003","Aaron","M","8869"
"52","2011","Aaron","M","7617"
"53","1973","Aaron","M","9237"
"54","2000","Abigail","F","13090"
"55","2014","Abigail","F","12095"
"56","2016","Abigail","F","11780"
"57","2007","Abigail","F","15473"
"58","2015","Abigail","F","12414"
"59","2018","Abigail","F","9854"
"60","2003","Abigail","F","15931"
"61","2005","Abigail","F","15751"
"62","2011","Abigail","F","13253"
"63","2009","Abigail","F","14391"
"64","1995","Abigail","F","7822"
"65","1994","Abigail","F","7240"
"66","2001","Abigail","F","14807"
"67","1998","Abigail","F","11099"
"68","2008","Abigail","F","15082"
"69","2002","Abigail","F","15300"
"70","2020","Abigail","F","7817"
"71","2013","Abigail","F","12411"
"72","1993","Abigail","F","5184"
"73","1996","Abigail","F","8604"
"74","2017","Abigail","F","10624"
"75","2006","Abigail","F","15630"
"76","2010","Abigail","F","14248"
"77","2004","Abigail","F","15427"
"78","2019","Abigail","F","9134"
"79","2012","Abigail","F","12713"
"80","1999","Abigail","F","11683"
"81","1997","Abigail","F","9628"
"82","2000","Adam","M","8133"
"83","1986","Adam","M","18166"
"84","2011","Adam","M","5208"
"85","1998","Adam","M","8357"
"86","1973","Adam","M","6842"
"87","2016","Adam","M","5207"
"88","1980","Adam","M","18874"
"89","1981","Adam","M","20040"
"90","2002","Adam","M","7751"
"91","2001","Adam","M","7752"
"92","1978","Adam","M","13921"
"93","1996","Adam","M","9555"
"94","1990","Adam","M","14708"
"95","2004","Adam","M","7472"
"96","2012","Adam","M","5318"
"97","1977","Adam","M","11037"
"98","1991","Adam","M","12303"
"99","2007","Adam","M","6787"
"100","2013","Adam","M","5244"
"101","1982","Adam","M","20104"
"102","1989","Adam","M","16931"
"103","1994","Adam","M","11019"
"104","2005","Adam","M","6842"
"105","1976","Adam","M","9947"
"106","1983","Adam","M","23494"
"107","1988","Adam","M","16465"
"108","1997","Adam","M","8805"
"109","1975","Adam","M","8651"
"110","1992","Adam","M","11903"
"111","2015","Adam","M","5396"
"112","2008","Adam","M","6096"
"113","1984","Adam","M","23941"
"114","1971","Adam","M","5856"
"115","2006","Adam","M","6798"
"116","2014","Adam","M","5331"
"117","2009","Adam","M","5672"
"118","2003","Adam","M","7686"
"119","1987","Adam","M","16929"
"120","1974","Adam","M","8427"
"121","1999","Adam","M","8223"
"122","2010","Adam","M","5106"
"123","1979","Adam","M","17061"
"124","1985","Adam","M","20172"
"125","1995","Adam","M","10486"
"126","1972","Adam","M","5746"
"127","1993","Adam","M","11531"
"128","2016","Addison","F","6330"
"129","2006","Addison","F","7620"
"130","2010","Addison","F","10327"
"131","2009","Addison","F","10663"
"132","2017","Addison","F","5627"
"133","2014","Addison","F","6996"
"134","2008","Addison","F","10761"
"135","2015","Addison","F","6726"
"136","2007","Addison","F","11947"
"137","2012","Addison","F","8179"
"138","2011","Addison","F","9305"
"139","2013","Addison","F","7732"
"140","2018","Addison","F","5220"
"141","1998","Adrian","M","5429"
"142","2014","Adrian","M","6693"
"143","2003","Adrian","M","6110"
"144","2013","Adrian","M","6847"
"145","1999","Adrian","M","5067"
"146","2002","Adrian","M","5684"
"147","2005","Adrian","M","6725"
"148","2010","Adrian","M","7405"
"149","2008","Adrian","M","7935"
"150","2016","Adrian","M","6330"
"151","2001","Adrian","M","5424"
"152","2004","Adrian","M","6138"
"153","2011","Adrian","M","7343"
"154","2020","Adrian","M","5249"
"155","2009","Adrian","M","7633"
"156","2007","Adrian","M","7737"
"157","2000","Adrian","M","5339"
"158","2015","Adrian","M","6531"
"159","2017","Adrian","M","6224"
"160","2018","Adrian","M","5809"
"161","2019","Adrian","M","5762"
"162","2006","Adrian","M","7382"
"163","2012","Adrian","M","6945"
"164","2006","Aidan","M","10035"
"165","2002","Aidan","M","6952"
"166","2009","Aidan","M","5808"
"167","2008","Aidan","M","7702"
"168","2005","Aidan","M","9758"
"169","2003","Aidan","M","10066"
"170","2004","Aidan","M","9822"
"171","2007","Aidan","M","8423"
"172","2017","Aiden","M","11326"
"173","2013","Aiden","M","13630"
"174","2010","Aiden","M","15543"
"175","2011","Aiden","M","15506"
"176","2018","Aiden","M","10025"
"177","2007","Aiden","M","13105"
"178","2020","Aiden","M","8534"
"179","2015","Aiden","M","13481"
"180","2003","Aiden","M","5684"
"181","2006","Aiden","M","11588"
"182","2016","Aiden","M","12240"
"183","2008","Aiden","M","15583"
"184","2014","Aiden","M","13411"
"185","2012","Aiden","M","14913"
"186","2019","Aiden","M","9358"
"187","2005","Aiden","M","9083"
"188","2004","Aiden","M","7161"
"189","2009","Aiden","M","16023"
"190","1952","Alan","M","8309"
"191","1954","Alan","M","8711"
"192","1947","Alan","M","7823"
"193","1951","Alan","M","8410"
"194","1948","Alan","M","7394"
"195","1949","Alan","M","7255"
"196","1963","Alan","M","6933"
"197","1945","Alan","M","5072"
"198","1965","Alan","M","5616"
"199","1962","Alan","M","7714"
"200","1953","Alan","M","8452"
"201","1950","Alan","M","7739"
"202","1964","Alan","M","6811"
"203","1957","Alan","M","8213"
"204","1956","Alan","M","8719"
"205","1961","Alan","M","8617"
"206","1955","Alan","M","9038"
"207","1959","Alan","M","8145"
"208","1960","Alan","M","8353"
"209","1946","Alan","M","6490"
"210","1958","Alan","M","8227"
"211","1923","Albert","M","9825"
"212","1925","Albert","M","9513"
"213","1941","Albert","M","5929"
"214","1946","Albert","M","6005"
"215","1943","Albert","M","6304"
"216","1933","Albert","M","6087"
"217","1926","Albert","M","9145"
"218","1924","Albert","M","9880"
"219","1934","Albert","M","6004"
"220","1942","Albert","M","6496"
"221","1935","Albert","M","6095"
"222","1950","Albert","M","5754"
"223","1949","Albert","M","6063"
"224","1920","Albert","M","9997"
"225","1945","Albert","M","5433"
